year,word,n,tf,idf,tf_idf
2019,rbi,14,0.006389776357827476,1.3862943611198906,0.008858110933673422
2019,nbfc,8,0.003651300775901415,2.0794415416798357,0.007592666514577218
2019,board,9,0.004107713372889092,1.3862943611198906,0.005694499885932914
2019,penalties,8,0.003651300775901415,1.3862943611198906,0.005061777676384813
2019,directors,7,0.003194888178913738,1.3862943611198906,0.004429055466836711
2019,furnish,4,0.0018256503879507074,2.0794415416798357,0.003796333257288609
2019,revised,58,0.02647193062528526,0.13353139262452257,0.003534833761854089
2019,act,53,0.024189867640346873,0.13353139262452257,0.0032301067134183916
2019,target,15,0.006846188954815153,0.47000362924573563,0.0032177336552651915
2019,interim,5,0.0022820629849383844,1.3862943611198906,0.003163611047740508
2019,advance,3,0.0013692377909630307,2.0794415416798357,0.002847249942966457
2019,dispute,3,0.0013692377909630307,2.0794415416798357,0.002847249942966457
2019,failure,3,0.0013692377909630307,2.0794415416798357,0.002847249942966457
2019,resolution,6,0.0027384755819260614,0.9808292530117262,0.002685976959411391
2019,director,4,0.0018256503879507074,1.3862943611198906,0.0025308888381924063
2019,earning,4,0.0018256503879507074,1.3862943611198906,0.0025308888381924063
2019,exchange,4,0.0018256503879507074,1.3862943611198906,0.0025308888381924063
2019,gst,11,0.005020538566864446,0.47000362924573563,0.002359671347194474
2019,nbfcs,5,0.0022820629849383844,0.9808292530117262,0.0022383141328428256
2019,subsidy,17,0.007759014148790507,0.28768207245178085,0.002232129270506743
2019,welfare,10,0.004564125969876769,0.47000362924573563,0.0021451557701767945
2019,amended,15,0.006846188954815153,0.28768207245178085,0.0019695258269177146
2019,allocations,9,0.004107713372889092,0.47000362924573563,0.001930640193159115
2019,net,9,0.004107713372889092,0.47000362924573563,0.001930640193159115
2019,entities,3,0.0013692377909630307,1.3862943611198906,0.001898166628644305
2019,figures,3,0.0013692377909630307,1.3862943611198906,0.001898166628644305
2019,house,3,0.0013692377909630307,1.3862943611198906,0.001898166628644305
2019,inter,3,0.0013692377909630307,1.3862943611198906,0.001898166628644305
2019,owing,3,0.0013692377909630307,1.3862943611198906,0.001898166628644305
2019,registration,3,0.0013692377909630307,1.3862943611198906,0.001898166628644305
2020,cut,6,0.0029069767441860465,2.0794415416798357,0.006044888202557662
2020,deductions,9,0.00436046511627907,0.9808292530117262,0.004276871742783689
2020,tobacco,4,0.001937984496124031,2.0794415416798357,0.004029925468371775
2020,revised,55,0.026647286821705425,0.13353139262452257,0.003558249318967413
2020,charities,3,0.0014534883720930232,2.0794415416798357,0.003022444101278831
2020,claim,3,0.0014534883720930232,2.0794415416798357,0.003022444101278831
2020,donations,3,0.0014534883720930232,2.0794415416798357,0.003022444101278831
2020,recruitment,3,0.0014534883720930232,2.0794415416798357,0.003022444101278831
2020,residence,3,0.0014534883720930232,2.0794415416798357,0.003022444101278831
2020,target,13,0.006298449612403101,0.47000362924573563,0.0029602941764508544
2020,option,6,0.0029069767441860465,0.9808292530117262,0.0028512478285224597
2020,payable,4,0.001937984496124031,1.3862943611198906,0.0026866169789145165
2020,subsidy,18,0.00872093023255814,0.28768207245178085,0.0025088552830097167
2020,stage,11,0.005329457364341085,0.47000362924573563,0.0025048643031507227
2020,budgetary,5,0.0024224806201550387,0.9808292530117262,0.00237603985710205
2020,extra,5,0.0024224806201550387,0.9808292530117262,0.00237603985710205
2020,rates,10,0.0048449612403100775,0.47000362924573563,0.002277149366500657
2020,welfare,10,0.0048449612403100775,0.47000362924573563,0.002277149366500657
2020,allowance,3,0.0014534883720930232,1.3862943611198906,0.0020149627341858873
2020,figures,3,0.0014534883720930232,1.3862943611198906,0.0020149627341858873
2020,stock,3,0.0014534883720930232,1.3862943611198906,0.0020149627341858873
2020,arising,2,9.689922480620155e-4,2.0794415416798357,0.0020149627341858873
2020,bhubaneswar,2,9.689922480620155e-4,2.0794415416798357,0.0020149627341858873
2020,chairperson,2,9.689922480620155e-4,2.0794415416798357,0.0020149627341858873
2020,chewing,2,9.689922480620155e-4,2.0794415416798357,0.0020149627341858873
2020,citizen,2,9.689922480620155e-4,2.0794415416798357,0.0020149627341858873
2020,commodities,2,9.689922480620155e-4,2.0794415416798357,0.0020149627341858873
2020,commodity,2,9.689922480620155e-4,2.0794415416798357,0.0020149627341858873
2020,days,2,9.689922480620155e-4,2.0794415416798357,0.0020149627341858873
2020,depositor,2,9.689922480620155e-4,2.0794415416798357,0.0020149627341858873
2021,smt,10,0.003714710252600297,1.3862943611198906,0.005149681876374036
2021,budgetary,14,0.005200594353640416,0.9808292530117262,0.00510089507509813
2021,annualised,6,0.002228826151560178,2.0794415416798357,0.004634713688736632
2021,sitharaman,11,0.004086181277860327,0.9808292530117262,0.004007846130434246
