budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,pm_name,government_coalition,full_url,pdf_filename,download_status,word_count
1969-70,1969,full,Morarji Desai,INC,INC,Indira Gandhi,Indira-II,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs196970.pdf,bs196970.pdf,success,6564
1984-85,1984,full,Pranab Mukherjee,INC,INC,Indira Gandhi,Indira-IV,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs198485.pdf,bs198485.pdf,success,11980
2001-02,2001,full,Yashwant Sinha,BJP,BJP,Atal Bihari Vajpayee,NDA-II,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs200102.pdf,bs200102.pdf,success,15375
1955-56,1955,full,C.D. Deshmukh,INC,INC,Jawaharlal Nehru,Nehru-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs195556.pdf,bs195556.pdf,success,12261
1970-71,1970,full,Indira Gandhi,INC,INC,Indira Gandhi,Indira-II,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197071.pdf,bs197071.pdf,success,7606
1985-86,1985,full,V.P. Singh,INC,INC,Rajiv Gandhi,Rajiv-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs198586.pdf,bs198586.pdf,success,13916
2002-03,2002,full,Jaswant Singh,BJP,BJP,Atal Bihari Vajpayee,NDA-II,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs200203.pdf,bs200203.pdf,success,16248
1956-57,1956,full,T.T. Krishnamachari,INC,INC,Jawaharlal Nehru,Nehru-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs195657.pdf,bs195657.pdf,success,13319
1971-72,1971,full,Yashwantrao Chavan,INC,INC,Indira Gandhi,Indira-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197172.pdf,bs197172.pdf,success,10135
1986-87,1986,full,V.P. Singh,INC,INC,Rajiv Gandhi,Rajiv-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs198687.pdf,bs198687.pdf,success,15790
2003-04,2003,full,Jaswant Singh,BJP,BJP,Atal Bihari Vajpayee,NDA-II,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs200304.pdf,bs200304.pdf,success,15476
1956-57,1956,special,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs195657(November).pdf,bs195657_November_.pdf,success,4693
1971-72,1971,full,Yashwantrao Chavan,INC,INC,Indira Gandhi,Indira-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197172december.pdf,bs197172december.pdf,success,2075
1987-88,1987,full,N.D. Tiwari,INC,INC,Rajiv Gandhi,Rajiv-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs198788.pdf,bs198788.pdf,success,11481
2004-05,2004,full,P. Chidambaram,INC,INC,Manmohan Singh,UPA-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs200405.pdf,bs200405.pdf,success,13577
