es,bs_year,cosine_tfidf,es_year,cosine_tf,same_year
ES_1998,1998,0.2047662266991064,1998,0.5386670215958433,TRUE
ES_1998,1999,0.23589748059160637,1998,0.6025366032238305,FALSE
ES_1998,2000,0.2204913273557675,1998,0.618436672000501,FALSE
ES_1998,2001,0.22828900758123205,1998,0.6026910041788126,FALSE
ES_1998,2002,0.2506308551405818,1998,0.6012358334138416,FALSE
ES_1998,2003,0.17372401401194548,1998,0.5282381844813149,FALSE
ES_1998,2004,0.1579922670778288,1998,0.5443928876575402,FALSE
ES_1998,2005,0.2004279076894076,1998,0.5486805980696552,FALSE
ES_1998,2006,0.17469380287410333,1998,0.5198181037749462,FALSE
ES_1998,2007,0.17231395461732435,1998,0.499058152411243,FALSE
ES_1998,2008,0.16824134816074884,1998,0.5354280260123631,FALSE
ES_1998,2009,0.1739055701068397,1998,0.5471033351984043,FALSE
ES_1998,2010,0.19484758506091057,1998,0.5418655546132491,FALSE
ES_1998,2011,0.1903467068123279,1998,0.5851097970840095,FALSE
ES_1998,2012,0.18468908481497753,1998,0.575304463457509,FALSE
ES_1998,2013,0.1411722025157313,1998,0.5266311663024067,FALSE
ES_1998,2014,0.16533371134641012,1998,0.4971192140225829,FALSE
ES_1998,2015,0.1588614903649836,1998,0.5029825555138702,FALSE
ES_1998,2016,0.1329602006500418,1998,0.4633682288841832,FALSE
ES_1998,2017,0.14697635111431692,1998,0.5039825591863042,FALSE
ES_1998,2018,0.1634460429889675,1998,0.5176109465858746,FALSE
ES_1998,2019,0.1653230547156084,1998,0.5089794283611582,FALSE
ES_1998,2020,0.14886506381118558,1998,0.49592309505275334,FALSE
ES_1998,2021,0.14561118427804984,1998,0.501097313758478,FALSE
ES_1998,2022,0.10245287450101373,1998,0.49919133299939106,FALSE
ES_1998,2023,0.10647093936060857,1998,0.46088370253129685,FALSE
ES_1998,2024,0.09391720281884744,1998,0.5027210284087367,FALSE
ES_1998,2025,0.0998517973309306,1998,0.4602882501141973,FALSE
ES_1998,2026,0.1125031844937193,1998,0.40353784592289943,FALSE
ES_1999,1998,0.23278422510378075,1999,0.5409712710451972,FALSE
ES_1999,1999,0.2330789764036934,1999,0.5945832729587139,TRUE
ES_1999,2000,0.22308299969786866,1999,0.608306820916628,FALSE
ES_1999,2001,0.22017074007535156,1999,0.5927424536967533,FALSE
ES_1999,2002,0.23396690841441953,1999,0.5933185544063558,FALSE
ES_1999,2003,0.17904067184630063,1999,0.5295267267081203,FALSE
ES_1999,2004,0.15664623853655316,1999,0.5499996872102719,FALSE
ES_1999,2005,0.1933654522527954,1999,0.5479652611234952,FALSE
ES_1999,2006,0.17070929924669648,1999,0.525587476347955,FALSE
ES_1999,2007,0.17006050098936218,1999,0.5061277877474855,FALSE
ES_1999,2008,0.17105978000384914,1999,0.5433138545501934,FALSE
ES_1999,2009,0.18186917854181522,1999,0.5564708344223084,FALSE
ES_1999,2010,0.20178164141995228,1999,0.5651771422307491,FALSE
ES_1999,2011,0.19900779649286487,1999,0.5899594425596463,FALSE
ES_1999,2012,0.17165475638409866,1999,0.5743629739379159,FALSE
ES_1999,2013,0.17588793178601225,1999,0.5665588219522892,FALSE
ES_1999,2014,0.20786893355343022,1999,0.5399861159138416,FALSE
ES_1999,2015,0.16263508460395326,1999,0.4956806682028632,FALSE
ES_1999,2016,0.13949682627811744,1999,0.4596151192142167,FALSE
ES_1999,2017,0.14392886943724967,1999,0.5061975760252518,FALSE
ES_1999,2018,0.17062180097832172,1999,0.5292010743988159,FALSE
ES_1999,2019,0.1648089393693226,1999,0.50871967513199,FALSE
ES_1999,2020,0.15530853522424737,1999,0.49845660573713885,FALSE
ES_1999,2021,0.14632452419468703,1999,0.5056045704203774,FALSE
ES_1999,2022,0.10784240107143941,1999,0.5242450039744267,FALSE
ES_1999,2023,0.11619248371381166,1999,0.46210360319204885,FALSE
ES_1999,2024,0.11274706742779642,1999,0.5300763881377876,FALSE
ES_1999,2025,0.10414130608487254,1999,0.4787776541943333,FALSE
ES_1999,2026,0.1338706647788024,1999,0.42525930799356715,FALSE
ES_2000,1998,0.18586052337196923,2000,0.5227739217391245,FALSE
ES_2000,1999,0.2279470497688,2000,0.5819476169334923,FALSE
ES_2000,2000,0.20439932689560578,2000,0.5907955485637286,TRUE
ES_2000,2001,0.2092530892337446,2000,0.5784806281048497,FALSE
ES_2000,2002,0.2209587574741595,2000,0.5800904524676975,FALSE
ES_2000,2003,0.16711524865195554,2000,0.5163271928214613,FALSE
ES_2000,2004,0.14658403211364096,2000,0.5303459317320544,FALSE
ES_2000,2005,0.18556669020709893,2000,0.526556253621003,FALSE
ES_2000,2006,0.16189365331393127,2000,0.5021553314439999,FALSE
ES_2000,2007,0.169941885931428,2000,0.48173440434818077,FALSE
ES_2000,2008,0.16560226743772563,2000,0.5256020346442158,FALSE
ES_2000,2009,0.15611374625529015,2000,0.5243842802429387,FALSE
ES_2000,2010,0.17849496728504524,2000,0.532442997055099,FALSE
ES_2000,2011,0.16842765862340503,2000,0.5660457797525323,FALSE
ES_2000,2012,0.1583813810827915,2000,0.5539988424953234,FALSE
ES_2000,2013,0.2626642516436665,2000,0.5830576325605833,FALSE
ES_2000,2014,0.2617016134138933,2000,0.5300244972050532,FALSE
ES_2000,2015,0.1509478928437761,2000,0.46636056978922696,FALSE
ES_2000,2016,0.13645218936766446,2000,0.4447450250506011,FALSE
ES_2000,2017,0.14519330768988917,2000,0.4850278777848144,FALSE
ES_2000,2018,0.16306522738229373,2000,0.49594776267270463,FALSE
ES_2000,2019,0.15912866650753793,2000,0.49037124021575174,FALSE
ES_2000,2020,0.14782703889668025,2000,0.4786369534904976,FALSE
ES_2000,2021,0.1437794671336368,2000,0.48980602163862386,FALSE
ES_2000,2022,0.09100942301321305,2000,0.4709911959529763,FALSE
ES_2000,2023,0.09995326175633908,2000,0.43542687781005635,FALSE
ES_2000,2024,0.09389665790170304,2000,0.4858672014641132,FALSE
ES_2000,2025,0.0963870965534029,2000,0.4529078948076718,FALSE
ES_2000,2026,0.16945516414964185,2000,0.41999933489418073,FALSE
ES_2001,1998,0.03884662916146616,2001,0.44159509994037366,FALSE
ES_2001,1999,0.044233197795562715,2001,0.49062669034070927,FALSE
ES_2001,2000,0.04716548695235296,2001,0.5050324302225662,FALSE
ES_2001,2001,0.04961402700861393,2001,0.5013106111809331,TRUE
ES_2001,2002,0.05174927403926228,2001,0.4971469639130485,FALSE
ES_2001,2003,0.03785734320018084,2001,0.4448607764343641,FALSE
ES_2001,2004,0.03407665755945554,2001,0.4563094582918755,FALSE
ES_2001,2005,0.04165016904537269,2001,0.44811187313900164,FALSE
ES_2001,2006,0.037398339386015875,2001,0.430856709872971,FALSE
ES_2001,2007,0.03779160353342674,2001,0.4156086728228965,FALSE
ES_2001,2008,0.038537661168246064,2001,0.4561502866385405,FALSE
ES_2001,2009,0.03550220826473918,2001,0.45368484873330295,FALSE
ES_2001,2010,0.0402419523215633,2001,0.4644788943829998,FALSE
ES_2001,2011,0.038020104272899376,2001,0.48757561099102575,FALSE
ES_2001,2012,0.03646609460710678,2001,0.4795526368189895,FALSE
ES_2001,2013,0.02990820421174446,2001,0.45393542065720854,FALSE
ES_2001,2014,0.03877063011355102,2001,0.42961749765903484,FALSE
ES_2001,2015,0.03454831303769774,2001,0.3985573940545201,FALSE
ES_2001,2016,0.030658302549378638,2001,0.3803810641665953,FALSE
ES_2001,2017,0.03210061758647278,2001,0.4168372855542045,FALSE
ES_2001,2018,0.037874264150117055,2001,0.4307619753331231,FALSE
ES_2001,2019,0.03423475113665925,2001,0.4182333490415416,FALSE
ES_2001,2020,0.03234693923446946,2001,0.41171114537620046,FALSE
ES_2001,2021,0.03172440439157688,2001,0.42148597563814993,FALSE
ES_2001,2022,0.021565328892692366,2001,0.40987828463919357,FALSE
ES_2001,2023,0.022366149758125696,2001,0.376842690415576,FALSE
ES_2001,2024,0.02182883480040793,2001,0.4188741863610123,FALSE
ES_2001,2025,0.02200795377518474,2001,0.3922793218135182,FALSE
ES_2001,2026,0.026022224664003592,2001,0.3409819605519793,FALSE
ES_2002,1998,0.04110390939669133,2002,0.4764159836077755,FALSE
ES_2002,1999,0.04710556821661498,2002,0.5283553166222665,FALSE
ES_2002,2000,0.048545218460565434,2002,0.5406740832155418,FALSE
ES_2002,2001,0.05655258464052306,2002,0.5371601707971343,FALSE
ES_2002,2002,0.05640092177315889,2002,0.5299470597835116,TRUE
ES_2002,2003,0.042521269547137606,2002,0.4851221260816137,FALSE
ES_2002,2004,0.03628227666750816,2002,0.48631260837830087,FALSE
ES_2002,2005,0.04510226203737386,2002,0.48521230864482723,FALSE
ES_2002,2006,0.04064905666433885,2002,0.46266958573646155,FALSE
ES_2002,2007,0.04035046183078856,2002,0.44406457364677054,FALSE
ES_2002,2008,0.04072794485636186,2002,0.48105908274509046,FALSE
ES_2002,2009,0.041025756989367064,2002,0.49677888876654924,FALSE
ES_2002,2010,0.043459646100019525,2002,0.49625039016478384,FALSE
ES_2002,2011,0.041048176191781964,2002,0.5180314485314998,FALSE
ES_2002,2012,0.03927654487651864,2002,0.508274085485866,FALSE
ES_2002,2013,0.039046644106675375,2002,0.48515763479215346,FALSE
ES_2002,2014,0.048544449181843925,2002,0.46810924997311526,FALSE
ES_2002,2015,0.037373406561055166,2002,0.4363762428567881,FALSE
ES_2002,2016,0.03359980125587051,2002,0.4190123511488623,FALSE
ES_2002,2017,0.03449391409034818,2002,0.4521575336481582,FALSE
ES_2002,2018,0.040083660471450046,2002,0.4656328656361098,FALSE
ES_2002,2019,0.036182005463723126,2002,0.45109436585590496,FALSE
ES_2002,2020,0.03549405819026961,2002,0.45303747060951965,FALSE
ES_2002,2021,0.03400513637649717,2002,0.4522416552253047,FALSE
ES_2002,2022,0.02375178083401223,2002,0.4401307239149981,FALSE
ES_2002,2023,0.02515373144561257,2002,0.4047016400530258,FALSE
ES_2002,2024,0.02404910298932745,2002,0.45259789517757965,FALSE
ES_2002,2025,0.023897897658040766,2002,0.4240154572922586,FALSE
ES_2002,2026,0.03234260548720453,2002,0.3724307991310942,FALSE
ES_2003,1998,0.07011565801300074,2003,0.43953109685659314,FALSE
ES_2003,1999,0.07726888051413006,2003,0.4856267182019943,FALSE
ES_2003,2000,0.07663469838582788,2003,0.49813262596748364,FALSE
ES_2003,2001,0.08596705570567466,2003,0.49299144240690085,FALSE
ES_2003,2002,0.09230263209155092,2003,0.48667519822826305,FALSE
ES_2003,2003,0.07064025434293084,2003,0.4462031698277585,TRUE
ES_2003,2004,0.06336904379290109,2003,0.45731074780853903,FALSE
ES_2003,2005,0.08589663226757142,2003,0.4590970054316559,FALSE
ES_2003,2006,0.0726409049754629,2003,0.43148365995836596,FALSE
ES_2003,2007,0.07280022930104559,2003,0.41834283072730055,FALSE
ES_2003,2008,0.07023816261045898,2003,0.4539783881695266,FALSE
ES_2003,2009,0.06780164971625427,2003,0.45844631526938634,FALSE
ES_2003,2010,0.07351044394203997,2003,0.46810278141849354,FALSE
ES_2003,2011,0.06857376172729536,2003,0.4848144839064807,FALSE
ES_2003,2012,0.06567568217902575,2003,0.47601244397119,FALSE
ES_2003,2013,0.23912814038559932,2003,0.6700773647278573,FALSE
ES_2003,2014,0.21414900975058973,2003,0.548801986261371,FALSE
ES_2003,2015,0.06338921900188096,2003,0.40197868079426935,FALSE
ES_2003,2016,0.053919101337776235,2003,0.38144407042175377,FALSE
ES_2003,2017,0.06032940312089431,2003,0.42457631165671555,FALSE
ES_2003,2018,0.06822200293565982,2003,0.4392788518573572,FALSE
ES_2003,2019,0.06148925514387586,2003,0.41675318402541617,FALSE
ES_2003,2020,0.06212377077289642,2003,0.41662457123661184,FALSE
ES_2003,2021,0.05780011970078477,2003,0.4160575941460566,FALSE
ES_2003,2022,0.040188306709550745,2003,0.4192838976254374,FALSE
ES_2003,2023,0.04063415318461927,2003,0.37530484070863146,FALSE
ES_2003,2024,0.04072804594614146,2003,0.42746632677148927,FALSE
ES_2003,2025,0.041188283915277187,2003,0.39701309790270956,FALSE
ES_2003,2026,0.13355995248412167,2003,0.44985475200801817,FALSE
ES_2004,1998,0.10401504353102223,2004,0.5266291361522188,FALSE
ES_2004,1999,0.12634095198408926,2004,0.5943136973395639,FALSE
ES_2004,2000,0.11866272278378315,2004,0.6025878369239793,FALSE
ES_2004,2001,0.13290876932003687,2004,0.5975055194850977,FALSE
ES_2004,2002,0.14336593089646468,2004,0.5921154023455749,FALSE
ES_2004,2003,0.1253250466866681,2004,0.5507985453071184,FALSE
ES_2004,2004,0.10763054498919725,2004,0.5515745601680688,TRUE
ES_2004,2005,0.13570566299866402,2004,0.552014137494207,FALSE
ES_2004,2006,0.12262696564417461,2004,0.5276776776690815,FALSE
ES_2004,2007,0.11924112748535588,2004,0.5057667710735658,FALSE
ES_2004,2008,0.11522190456628664,2004,0.5515334009062275,FALSE
ES_2004,2009,0.11769591025586294,2004,0.5524502956922469,FALSE
ES_2004,2010,0.12716043216305573,2004,0.5679102456559473,FALSE
ES_2004,2011,0.2735842207368367,2004,0.6075927101865067,FALSE
ES_2004,2012,0.2865851963309699,2004,0.606667892790882,FALSE
ES_2004,2013,0.0985906276059757,2004,0.5471072925357605,FALSE
ES_2004,2014,0.11842100403726788,2004,0.5139743443737811,FALSE
ES_2004,2015,0.10002668330124904,2004,0.4888613662990078,FALSE
ES_2004,2016,0.08955263909113212,2004,0.4614298583563821,FALSE
ES_2004,2017,0.0990803642097601,2004,0.5073683125795119,FALSE
ES_2004,2018,0.11356682287601481,2004,0.5349444975035715,FALSE
ES_2004,2019,0.10200470136113259,2004,0.4996680853660733,FALSE
ES_2004,2020,0.1011643532427712,2004,0.5015325289339109,FALSE
ES_2004,2021,0.09445841782545095,2004,0.49982177286665574,FALSE
ES_2004,2022,0.07023450965516244,2004,0.512796796709711,FALSE
ES_2004,2023,0.07022697700393013,2004,0.4542162046011855,FALSE
ES_2004,2024,0.06744859845273561,2004,0.5153224605982597,FALSE
ES_2004,2025,0.06943968091400939,2004,0.4849932823082436,FALSE
ES_2004,2026,0.07760583203598276,2004,0.42120562730463473,FALSE
ES_2005,1998,0.09779738481566552,2005,0.5300008280821242,FALSE
ES_2005,1999,0.11350133162933869,2005,0.5879922203124057,FALSE
ES_2005,2000,0.1092597306500936,2005,0.6001501636904369,FALSE
ES_2005,2001,0.11933061797461884,2005,0.5951989011766817,FALSE
ES_2005,2002,0.12821871494016854,2005,0.5907669909813049,FALSE
ES_2005,2003,0.11203433517307075,2005,0.5536326606808032,FALSE
ES_2005,2004,0.12145452738343321,2005,0.5543093921806811,FALSE
ES_2005,2005,0.13378413392343247,2005,0.5499416091415049,TRUE
ES_2005,2006,0.11898513685857914,2005,0.5287464460630661,FALSE
ES_2005,2007,0.10827008473095831,2005,0.5010587691022516,FALSE
