doc_id,budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,topic,prevalence,topic_num
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_1,6.086495799489062e-4,1
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_2,0.9989835435072726,2
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_3,5.351183147403675e-7,3
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_4,2.3968216694221835e-6,4
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_5,1.3781010025387149e-4,5
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_6,1.0759160543435153e-4,6
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_7,8.168065801081926e-5,7
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_8,2.9966308942750428e-5,8
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_9,1.3216325335945018e-5,9
bs199192,1991-92,1991,full,Yashwant Sinha,Janata Dal,Other,topic_10,3.460997481598063e-5,10
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_1,1.3685521084659983e-5,1
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_2,0.007012452575551014,2
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_3,1.9200807828542846e-4,3
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_4,4.0857232424823235e-5,4
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_5,0.8925805767847551,5
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_6,0.09961782967985575,6
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_7,2.4383462545206855e-5,7
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_8,3.503264808758137e-5,8
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_9,2.4050751298366395e-4,9
bs198889,1988-89,1988,full,N.D. Tiwari,INC,INC,topic_10,2.4266650442590195e-4,10
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_1,1.8040933494116157e-5,1
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_2,0.001367894876095988,2
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_3,3.4529975413572357e-4,3
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_4,0.0024736906012731217,4
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_5,0.9952591369723953,5
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_6,2.1375378662838896e-4,6
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_7,6.666173699504044e-5,7
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_8,3.486885644196019e-5,8
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_9,6.729649945710762e-5,9
bs198788,1987-88,1987,full,N.D. Tiwari,INC,INC,topic_10,1.5335598308288608e-4,10
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_1,3.6245614126809633e-4,1
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_2,0.7250127234732434,2
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_3,3.269568963825733e-4,3
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_4,9.525585186029008e-5,4
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_5,0.16729966676087585,5
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_6,0.10184977543877505,6
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_7,0.003433916598261797,7
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_8,2.8019267415067367e-4,8
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_9,3.10901618261781e-4,9
bs199394,1993-94,1993,full,Manmohan Singh,INC,INC,topic_10,0.0010281545469199844,10
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_1,4.912561113095348e-6,1
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_2,6.999345326728999e-4,2
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_3,2.355223559351861e-4,3
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_4,2.5162844663126864e-4,4
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_5,0.9982190754203796,5
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_6,4.317578465284426e-4,6
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_7,1.707751803807154e-5,7
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_8,1.0977194269261956e-5,8
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_9,4.0065485872232953e-5,9
bs198687,1986-87,1986,full,V.P. Singh,INC,INC,topic_10,8.904863856028904e-5,10
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_1,6.785797468900202e-5,1
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_2,0.08231072470814822,2
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_3,3.419565513130617e-4,3
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_4,3.656197390036932e-4,4
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_5,0.911607745442549,5
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_6,0.001462286490741328,6
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_7,3.342304892222023e-4,7
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_8,7.889951320356182e-5,8
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_9,9.863789004166092e-5,9
bs198990,1989-90,1989,full,S.B. Chavan,INC,INC,topic_10,0.0033320412010887264,10
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_1,5.372012158598101e-5,1
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_2,3.712096572977816e-5,2
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_3,7.05892652721768e-5,3
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_4,1.856288895329369e-4,4
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_5,7.21274071890054e-5,5
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_6,4.598682662933521e-4,6
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_7,4.3063913394032675e-5,7
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_8,7.934430043062653e-4,8
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_9,0.9981632378925303,9
bs201617,2016-17,2016,full,Arun Jaitley,BJP,BJP,topic_10,1.2120027416677012e-4,10
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_1,6.0819506185168144e-5,1
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_2,0.38721980030418257,2
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_3,3.4966603939650987e-4,3
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_4,7.191922110917122e-4,4
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_5,0.4769647163173763,5
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_6,0.0014467999828554105,6
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_7,6.411092483167027e-4,7
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_8,1.455907358875228e-4,8
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_9,1.7279175137280777e-4,9
bs199091,1990-91,1990,full,Madhu Dandavate,Janata Dal,Other,topic_10,0.13227951390333542,10
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_1,3.991916442273691e-6,1
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_2,2.64467865031484e-4,2
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_3,4.544329986721768e-4,3
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_4,5.009748619796581e-4,4
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_5,0.9985428241430543,5
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_6,1.014300939228213e-4,6
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_7,2.283935613969875e-5,7
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_8,8.752694395326636e-6,8
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_9,1.6144784010639098e-5,9
bs198283,1982-83,1982,full,R. Venkataraman,INC,INC,topic_10,8.41412863512322e-5,10
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_1,8.253108503882911e-5,1
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_2,0.7542108713640119,2
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_3,3.205324137756022e-5,3
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_4,4.1415254277470264e-5,4
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_5,0.003914049255121354,5
bs199293,1992-93,1992,full,Manmohan Singh,INC,INC,topic_6,9.811410801810157e-4,6
