label,n_words,s_socialist,s_capitalist,s_globalist,s_nationalist,axis_market,axis_nationalist,year,fy_start,cea,short_flag,bs_market,bs_nationalist,bs_words,div_market,div_nationalist,year_label,agree_market,agree_nationalist
2021,494,0.006072874493927126,0.016194331983805668,0.004048582995951417,0.004048582995951417,0.010121457489878543,0,2021,2021,K.V. Subramanian,FALSE,0.004801756070791603,0.0037042118260392377,7289,0.005319701419086939,-0.0037042118260392377,2021-22,TRUE,FALSE
2023,623,0,0,0,0.0032102728731942215,0,0.0032102728731942215,2023,2023,V.A. Nageswaran,FALSE,0.004955401387512388,0.0033036009250082586,6054,-0.004955401387512388,-9.332805181403716e-5,2023-24,FALSE,TRUE
2024,616,0.0016233766233766235,0.00487012987012987,0,0,0.0032467532467532465,0,2024,2024,V.A. Nageswaran,FALSE,0.010976948408342478,-0.0035675082327113064,3644,-0.007730195161589232,0.0035675082327113064,2024-25,TRUE,FALSE
