doc_id,s_socialist,s_capitalist,s_globalist,s_nationalist,s_agrarian,s_industrial,axis_market,axis_nationalist,budget_year,fy_start,budget_type,fm_name,fm_party_family,words_clean,party,axis_market_z,axis_nationalist_z
bs199192,0.007063619366665373,0.009965149428199404,6.027813082926058e-4,0.0027078374217554724,0.0032337413935801876,0.003579069621744987,0.0029015300615340316,0.002105056113462867,1991-92,1991,full,Yashwant Sinha,Other,18134,Other,0.5529932979813486,0.5438512215988457
bs198889,0.012462805366048676,0.003462258633198212,0,0.003849154869179094,0.01849221529783027,0.007811224141262514,-0.009000546732850464,0.003849154869179094,1988-89,1988,full,N.D. Tiwari,INC,15831,INC,-1.8330714950619749,1.4619118358373795
bs198788,0.009295929768721255,0.005811787880574818,0,0.002380263724237295,0.006418077526598444,0.007982545409388317,-0.003484141888146437,0.002380263724237295,1987-88,1987,full,N.D. Tiwari,INC,11212,INC,-0.7271721119953084,0.6887153053341357
bs199394,0.006568872845666966,0.014510643136326851,0.0019039374334604603,0.0019944047571403773,0.0031158191969482894,0.0044002536483705584,0.007941770290659886,9.046732367991696e-5,1993-94,1993,full,Manmohan Singh,INC,12530,INC,1.5634337418601805,-0.516590233177998
bs198687,0.009479719651306623,0.0032059562172758556,0.001654156774512714,0.003231120195649405,0.00747077904768972,0.007913989765068881,-0.006273763434030767,0.001576963421136691,1986-87,1986,full,V.P. Singh,INC,15475,INC,-1.2864205416214853,0.2658732115217991
bs198990,0.01008418625205816,0.003336435896164485,0,0.002161682788806708,0.013412594420667683,0.008433785687026484,-0.006747750355893674,0.002161682788806708,1989-90,1989,full,S.B. Chavan,INC,12931,INC,-1.3814429084031934,0.5736584330185364
bs201617,0.002837972777509358,0.008820833510255005,4.353681972984853e-4,0.0013519974954113452,0.0064620305162220865,0.0032153568658546535,0.005982860732745647,9.166292981128599e-4,2016-17,2016,full,Arun Jaitley,BJP,23484,BJP,1.1707220151890416,-0.08171418775764729
bs199091,0.009075546201275745,0.004706006846547608,0,0.00221849509780762,0.006372613557671321,0.003259741305353801,-0.004369539354728137,0.00221849509780762,1990-91,1990,full,Madhu Dandavate,Other,13229,Other,-0.9046718676561942,0.6035633584860555
bs198283,0.003947831984179735,0.004209695726989248,0,0.001564788873593902,0.0042803503170419505,0.009456137079280478,2.618637428095129e-4,0.001564788873593902,1982-83,1982,full,R. Venkataraman,INC,14095,INC,0.023807091464642282,0.2594647598452085
bs199293,0.009262189526325718,0.012404194108328104,0.003793362256905192,0.0014258852726465382,0.002705121135244462,0.0029205743330334663,0.003142004582002386,-0.002367476984258654,1992-93,1992,full,Manmohan Singh,INC,13975,INC,0.6012023455976632,-1.8104056514359659
bs199596,0.016012092495227722,0.011183209848712832,0,0.0014405646876771688,0.00621359382286359,0.00558985315723985,-0.00482888264651489,0.0014405646876771688,1995-96,1995,full,Manmohan Singh,INC,12034,INC,-0.9967585576841153,0.19407549673598493
Budget_Speech_2020-21,0.002658594339187641,0.006983883127709134,0.0011702236019792477,0.0014540231425366071,0.004329084037852549,0.003667956345552572,0.004325288788521493,2.8379954055735945e-4,2020-21,2020,full,Nirmala Sitharaman,BJP,20042,BJP,0.8384208440257315,-0.4148238090022556
bs200304,0.004864586642842047,0.009927510832626782,0.0017706962382262068,8.917562719671929e-4,0.005940332947193404,0.0041830378921582706,0.0050629241897847356,-8.789399662590139e-4,2003-04,2003,full,Jaswant Singh,BJP,14715,BJP,0.9862980499505842,-1.0268679047443494
bs201920,0.0023666389627850773,0.007236147693236889,7.232381113126534e-4,0.0018349713814249605,0.0013554632003148792,0.0030684250526905343,0.004869508730451812,0.0011117332701123073,2019-20,2019,full,Nirmala Sitharaman,BJP,19449,BJP,0.9475231515931536,0.020984854820726928
Budget_Speech_2023-24,0.0014378028079447115,0.0055659490739160935,0.0010169433561476226,0.004687537038755773,0.004369954890933485,0.003316448170443072,0.004128146265971382,0.0036705936826081503,2023-24,2023,full,Nirmala Sitharaman,BJP,13235,BJP,0.7988987639387919,1.3679206027806463
bs198586,0.007339227366124339,0.00476651267397459,0,0.001246457772818133,0.0035219932468319483,0.007502865348604227,-0.0025727146921497492,0.001246457772818133,1985-86,1985,full,V.P. Singh,INC,13673,INC,-0.5444540551923186,0.09190128618776786
bs199495,0.008021317096620512,0.013348716970666481,0.0022527149941403133,0.0017458106638782887,0.0031228646252955145,0.004885254910927252,0.005327399874045969,-5.069043302620246e-4,1994-95,1994,full,Manmohan Singh,INC,12643,INC,1.0393187227065783,-0.8310353789870801
bs199899,0.008063265253312385,0.010671788157102053,0.001339783317721922,0.004541696031100013,0.002512289475572753,0.003721733987582466,0.0026085229037896684,0.003201912713378091,1998-99,1998,full,Yashwant Sinha,BJP,15019,BJP,0.4942527877929607,1.121215800611022
bs197576,0.00969994187890782,0.00562335334831998,0,0.002824065871835906,0.010079446969438943,0.01187990518120501,-0.00407658853058784,0.002824065871835906,1975-76,1975,full,C. Subramaniam,INC,11853,INC,-0.8459426509279017,0.922324366110883
bs198384,0.0034800968750813934,0.007425105664054872,0,0.003055767452732049,0.009923154231935538,0.008209116893524018,0.003945008788973478,0.003055767452732049,1983-84,1983,full,Pranab Mukherjee,INC,13730,INC,0.7621843405906205,1.0442876981644047
bs201213,0.006982227260172834,0.008581616581419439,3.8576587233560755e-4,0.0012994256578682806,0.006447179388867334,0.005827461078955335,0.0015993893212466045,9.13659785532673e-4,2012-13,2012,full,Pranab Mukherjee,INC,13766,INC,0.29194707641326834,-0.08327728304363405
bs201718,0.003850136849508461,0.008602207141478496,7.691979227807349e-4,0.001876154961463021,0.005301571150544563,0.0018681015124112647,0.0047520702919700356,0.001106957038682286,2017-18,2017,full,Arun Jaitley,BJP,17960,BJP,0.9239797206228915,0.018470736886739912
bs198081,0.004873274712712651,0.003275064124737208,0.0027493361618731163,0.003043265297536911,0.010159207348047828,0.007081400319413835,-0.0015982105879754436,2.9392913566379493e-4,1980-81,1980,full,R. Venkataraman,INC,13228,INC,-0.34909067669827315,-0.40949178162999655
